OTU,logMaxMean,LDA,pValue
Otu00425,0.388596,NA,NA
Otu00426,0.500137,NA,NA
Otu00427,1.14313,NA,NA
Otu00428,0.573782,NA,NA
Otu00429,0.440776,NA,NA
Otu00431,0.434835,NA,NA
Otu00433,1.37412,NA,NA
Otu00435,0.999106,NA,NA
Otu00438,0.960625,NA,NA
Otu00440,0.234746,NA,NA
Otu00441,1.23647,NA,NA
Otu00442,0.711867,NA,NA
Otu00443,0.735865,NA,NA
Otu00445,0.514892,NA,NA
Otu00448,0.802812,NA,NA
Otu00449,0.721485,NA,NA
Otu00450,1.25187,NA,NA
Otu00451,0.909108,NA,NA
Otu00452,0.920225,NA,NA
Otu00453,1.48466,NA,NA
Otu00454,1.66843,NA,NA
Otu00455,0.735865,NA,NA
Otu00456,1.23002,NA,NA
Otu00457,0,NA,NA
Otu00458,1.64087,NA,NA
Otu00460,0.434835,NA,NA
Otu00461,1.28168,NA,NA
Otu00462,0.747676,NA,NA
Otu00463,0.925282,NA,NA
Otu00464,1.39809,NA,NA
Otu00465,0.735865,NA,NA
Otu00466,1.0509,NA,NA
Otu00467,0.501449,NA,NA
Otu00469,0.573782,NA,NA
Otu00470,1.75357,NA,NA
Otu00471,1.23045,NA,NA
Otu00472,1.30157,NA,NA
Otu00473,1.48417,NA,NA
Otu00475,0.664089,NA,NA
Otu00477,1.03895,NA,NA
Otu00479,0.874812,NA,NA
Otu00480,0.984652,NA,NA
Otu00482,0.529416,NA,NA
Otu00484,0,NA,NA
Otu00485,1.15946,NA,NA
Otu00488,1.10003,NA,NA
Otu00491,0,NA,NA
Otu00494,0.867828,NA,NA
Otu00495,0.177607,NA,NA
Otu00497,1.11686,NA,NA
Otu00498,0.779561,NA,NA
Otu00499,0.81651,NA,NA
Otu00501,0,NA,NA
Otu00502,0.774186,NA,NA
Otu00503,1.397,NA,NA
Otu00504,1.20577,NA,NA
Otu00505,0,NA,NA
Otu00506,0.911956,NA,NA
Otu00507,1.04362,NA,NA
Otu00508,0.943427,NA,NA
Otu00509,0.573782,NA,NA
Otu00511,0.747676,NA,NA
Otu00512,1.01816,NA,NA
Otu00513,0,NA,NA
Otu00515,0.669308,NA,NA
Otu00516,0.779458,NA,NA
Otu00517,0.224452,NA,NA
Otu00519,0.96403,NA,NA
Otu00520,1.41858,NA,NA
Otu00521,1.52698,NA,NA
Otu00522,0.966056,NA,NA
Otu00524,0.958732,NA,NA
Otu00526,0.709538,NA,NA
Otu00527,1.75236,NA,NA
Otu00528,0.396597,NA,NA
Otu00529,1.27456,NA,NA
Otu00530,0.67282,NA,NA
Otu00532,0.813151,NA,NA
Otu00533,0.492803,NA,NA
Otu00534,0.957714,NA,NA
Otu00536,0.408508,NA,NA
Otu00537,1.56709,NA,NA
Otu00539,1.01057,NA,NA
Otu00540,0.874812,NA,NA
Otu00541,0.802812,NA,NA
Otu00542,0,NA,NA
Otu00543,1.18239,NA,NA
Otu00544,0.598935,NA,NA
Otu00546,0.874812,NA,NA
Otu00549,1.35796,NA,NA
Otu00550,0.559774,NA,NA
Otu00553,0,NA,NA
Otu00554,1.56125,NA,NA
Otu00555,0.353663,NA,NA
Otu00557,0.559774,NA,NA
Otu00558,0,NA,NA
Otu00559,0.559774,NA,NA
Otu00560,0.965658,NA,NA
Otu00561,0.559774,NA,NA
Otu00562,1.03482,NA,NA
Otu00564,0.813168,NA,NA
Otu00565,0,NA,NA
Otu00566,0,NA,NA
Otu00567,0.368278,NA,NA
Otu00569,0.649632,NA,NA
Otu00570,0.559774,NA,NA
Otu00573,0.315437,NA,NA
Otu00574,0,NA,NA
Otu00576,1.69925,NA,NA
Otu00577,1.00892,NA,NA
Otu00578,0.656684,NA,NA
Otu00579,0.958732,NA,NA
Otu00580,0.258744,NA,NA
Otu00583,0.802812,NA,NA
Otu00584,0.258744,NA,NA
Otu00586,0.408508,NA,NA
Otu00587,0.511181,NA,NA
Otu00588,0.0522948,NA,NA
Otu00591,1.30256,NA,NA
Otu00593,0.677464,NA,NA
Otu00594,0.664089,NA,NA
Otu00595,0.748398,NA,NA
Otu00596,0.559774,NA,NA
Otu00597,0.9967,NA,NA
Otu00598,0.534355,NA,NA
Otu00599,0.767065,NA,NA
Otu00601,0.177501,NA,NA
Otu00603,0,NA,NA
Otu00607,0.300855,NA,NA
Otu00610,1.2613,NA,NA
Otu00613,1.16577,NA,NA
Otu00615,0.258744,NA,NA
Otu00616,1.13437,NA,NA
Otu00617,0.62066,NA,NA
Otu00618,0.581919,NA,NA
Otu00620,0.69567,NA,NA
Otu00623,1.04227,NA,NA
Otu00625,1.16955,NA,NA
Otu00627,0.370881,NA,NA
Otu00628,0,NA,NA
Otu00631,1.12699,NA,NA
Otu00632,0.585593,NA,NA
Otu00633,0.258744,NA,NA
Otu00635,0.958732,NA,NA
Otu00636,0.0522948,NA,NA
Otu00637,0.434835,NA,NA
Otu00640,0.676994,NA,NA
Otu00643,0,NA,NA
Otu00645,0.434835,NA,NA
Otu00646,1.46871,NA,NA
Otu00652,0,NA,NA
Otu00653,0.615771,NA,NA
Otu00654,0.789323,NA,NA
Otu00655,1.30468,NA,NA
Otu00659,0.947233,NA,NA
Otu00661,0.838971,NA,NA
Otu00663,0,NA,NA
Otu00664,0.564688,NA,NA
Otu00665,0.656684,NA,NA
Otu00666,0,NA,NA
Otu00668,0.724521,NA,NA
Otu00669,0,NA,NA
Otu00671,0.158895,NA,NA
Otu00672,0.656684,NA,NA
Otu00674,0.540862,NA,NA
Otu00675,0.793015,NA,NA
Otu00676,0.882656,NA,NA
Otu00677,0.8454,NA,NA
Otu00678,0.54018,NA,NA
Otu00679,0.664089,NA,NA
Otu00681,0.874812,NA,NA
Otu00682,0.534355,NA,NA
Otu00683,0.861858,NA,NA
Otu00684,0.0403839,NA,NA
Otu00687,0.573782,NA,NA
Otu00688,1.01965,NA,NA
Otu00691,0.408508,NA,NA
Otu00692,0.635892,NA,NA
Otu00697,0,NA,NA
Otu00698,0,NA,NA
Otu00699,0.735865,NA,NA
Otu00700,0,NA,NA
Otu00701,0.76965,NA,NA
Otu00702,0.836481,NA,NA
Otu00704,1.14121,NA,NA
Otu00706,0.624252,NA,NA
Otu00707,0.767065,NA,NA
Otu00711,0,NA,NA
Otu00713,0.664089,NA,NA
Otu00714,0,NA,NA
Otu00716,0.559774,NA,NA
Otu00717,0.669308,NA,NA
Otu00719,0.868874,NA,NA
Otu00720,0.258744,NA,NA
Otu00722,0.535776,NA,NA
Otu00723,0.982118,NA,NA
Otu00725,0.664089,NA,NA
Otu00729,1.09597,NA,NA
Otu00731,0,NA,NA
Otu00733,0.408508,NA,NA
Otu00734,0,NA,NA
Otu00737,1.01628,NA,NA
Otu00740,0.234746,NA,NA
Otu00741,0,NA,NA
Otu00742,0.965119,NA,NA
Otu00744,1.11353,NA,NA
Otu00747,0,NA,NA
Otu00748,0,NA,NA
Otu00750,0.364335,NA,NA
Otu00751,0.0522948,NA,NA
Otu00752,1.06809,NA,NA
Otu00753,0.957741,NA,NA
Otu00756,1.14121,NA,NA
Otu00757,0.434835,NA,NA
Otu00758,0.310501,NA,NA
Otu00766,0.434835,NA,NA
Otu00767,0.838554,NA,NA
Otu00769,0.434835,NA,NA
Otu00770,0.258744,NA,NA
Otu00771,0.781106,NA,NA
Otu00774,0.550074,NA,NA
Otu00775,0.0522948,NA,NA
Otu00777,0.258744,NA,NA
Otu00779,0.664089,NA,NA
Otu00780,0.0403839,NA,NA
Otu00781,1.16629,NA,NA
Otu00782,1.04238,NA,NA
Otu00784,0.898743,NA,NA
Otu00785,0,NA,NA
Otu00786,0.952703,NA,NA
Otu00788,0.534355,NA,NA
Otu00789,0,NA,NA
Otu00790,0.370382,NA,NA
Otu00791,0,NA,NA
Otu00792,0.664089,NA,NA
Otu00793,1.3692,NA,NA
Otu00794,1.13467,NA,NA
Otu00796,1.11206,NA,NA
Otu00798,0.812211,NA,NA
Otu00799,0.258744,NA,NA
Otu00804,0.760955,NA,NA
Otu00806,1.25884,NA,NA
Otu00808,0.535776,NA,NA
Otu00810,1.17584,NA,NA
Otu00811,0.281725,NA,NA
Otu00813,1.02724,NA,NA
Otu00814,0.500137,NA,NA
Otu00817,0.195356,NA,NA
Otu00821,1.04137,NA,NA
Otu00824,1.34604,NA,NA
Otu00826,1.47342,NA,NA
Otu00833,0.820427,NA,NA
Otu00844,0.0522948,NA,NA
Otu00845,0.528554,NA,NA
Otu00847,0.258744,NA,NA
Otu00851,0.768299,NA,NA
Otu00852,0.709538,NA,NA
Otu00853,0,NA,NA
Otu00855,0.89536,NA,NA
Otu00862,0.903828,NA,NA
Otu00863,0.656684,NA,NA
Otu00864,0,NA,NA
Otu00865,0.737003,NA,NA
Otu00866,0.550074,NA,NA
Otu00867,0.258744,NA,NA
Otu00869,0,NA,NA
Otu00871,0.8454,NA,NA
Otu00872,0.234746,NA,NA
Otu00873,0,NA,NA
Otu00874,0.500137,NA,NA
Otu00877,0,NA,NA
Otu00885,0.511181,NA,NA
Otu00886,0.768592,NA,NA
Otu00889,0,NA,NA
Otu00890,0.258744,NA,NA
Otu00891,1.07441,NA,NA
Otu00892,0.639918,NA,NA
Otu00893,0,NA,NA
Otu00901,0.281641,NA,NA
Otu00902,0,NA,NA
Otu00903,0,NA,NA
Otu00905,0.258744,NA,NA
Otu00906,0.601885,NA,NA
Otu00907,0.857789,NA,NA
Otu00908,0.715537,NA,NA
Otu00913,0,NA,NA
Otu00916,0.815887,NA,NA
Otu00922,0,NA,NA
Otu00926,0.689889,NA,NA
Otu00927,0.370382,NA,NA
Otu00929,0,NA,NA
Otu00930,0.710921,NA,NA
Otu00931,0.641387,NA,NA
Otu00935,0.234746,NA,NA
Otu00938,0,NA,NA
Otu00940,0.559774,NA,NA
Otu00942,0,NA,NA
Otu00952,0,NA,NA
Otu00954,0.163145,NA,NA
Otu00957,0.300855,NA,NA
Otu00961,1.01816,NA,NA
Otu00962,0.671412,NA,NA
Otu00963,0.434835,NA,NA
Otu00964,0.844638,NA,NA
Otu00966,0,NA,NA
Otu00967,0,NA,NA
Otu00976,0.844638,NA,NA
Otu00977,0.300855,NA,NA
Otu00978,0,NA,NA
Otu00981,0.434835,NA,NA
Otu00984,1.06809,NA,NA
Otu00985,1.01816,NA,NA
Otu00989,0,NA,NA
Otu00992,0.511181,NA,NA
Otu00993,0.234746,NA,NA
Otu00999,0.940604,NA,NA
Otu01005,0.870189,NA,NA
Otu01006,0.0875664,NA,NA
Otu01008,0.177607,NA,NA
Otu01009,0,NA,NA
Otu01010,1.13984,NA,NA
Otu01012,0.721958,NA,NA
Otu01017,0,NA,NA
Otu01018,0.657735,NA,NA
