,mouse,treatment,experiment,day,cfu
123,1310,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,4000
124,1313,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,12000
125,1278,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,2260000
126,1279,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,11100
127,1280,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,33000
128,1281,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,73000
129,1282,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,1,1210
130,1283,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,33000
131,1288,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,23000
132,1291,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,6000
133,1292,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,1
134,1293,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,1
135,1301,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,1
136,1308,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,1
137,1309,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,1
138,1310,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,3000
139,1313,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,1390000
140,1278,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,620000
141,1279,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,101000
142,1280,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,18000
143,1282,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,2,1000
144,1283,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,70000
145,1288,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,3000
146,1291,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,2000
147,1292,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,1
148,1293,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,1
149,1301,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,2000
150,1308,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,1
151,1309,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,1
152,1310,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,22000
153,1278,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,330000
154,1279,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,61000
155,1280,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,70000
156,1281,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,40000
157,1282,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,3,16000
158,1283,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,170000
159,1288,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,79000
160,1291,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,3000
161,1292,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
162,1293,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
163,1301,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,1000
164,1308,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,1
165,1309,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,10000
166,1310,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,17000
167,1313,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,45100000
168,1278,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,3.00E+06
169,1279,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,1.80E+07
170,1280,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,45000
171,1281,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,155000
172,1282,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,5,28000
173,1283,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,40000
174,1288,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,169000
175,1291,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
176,1293,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,3000
177,1301,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
178,1309,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,1
179,1310,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,12000
180,1313,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,21700000
181,1278,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,8.00E+05
182,1279,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,27300000
183,1280,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,33000
184,1281,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,250000
185,1282,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,7,31000
186,1283,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,2.00E+05
187,1288,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,303000
188,1291,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
189,1292,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
190,1293,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
191,1301,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
192,1308,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
193,1309,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,1
194,1310,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,36000
195,1313,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,39800000
196,1278,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,3.00E+05
197,1279,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,3300000
198,1280,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,34000
199,1281,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,1720000
200,1282,HhWT + VPI spores + control mAb,IL10_mice_HhWT_antip40_Exp_2_032921,9,210000
201,1240,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,1,1
202,1241,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,1,1
203,1233,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,1,1
204,1240,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,2,1
205,1241,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,2,1
206,1233,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,2,1
207,1240,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,3,1
208,1241,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,3,1
209,1233,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,3,1
210,1240,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,5,1
211,1241,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,5,1
212,1233,No_treatment_controls (sterile broth + water + mAb vehicle),IL10_mice_HhWT_antip40_Exp_1_012521,5,1
